ID,Title,Type of document,Year,Issuer,Country of issuer,Link
PB_H_01,EFPIA  Position on the use of artificial intelligence in the medicinal product lifecycle,Reccommendation,2024,European Federation of Pharmaceutical Industries and Associations,Europe,https://efpia.eu/media/tzeavw1t/efpia-position-on-the-use-of-artificial-intelligence-in-the-medicinal-product-lifecycle.pdf
PB_H_02,MHE Artificial Intelligence in Mental Health,Guiding principles,2024,Mental Health Europe (MHE),Europe,https://www.mentalhealtheurope.org/wp-content/uploads/2025/02/Study-on-AI-in-mental-health-care-final-for-publication.pdf
PB_H_03,EMA Reflection paper on the use of Artificial Intelligence (AI) in the medicinal product lifecycle,Reflection Paper,2024,European Medicines Agency,Europe,https://www.ema.europa.eu/en/documents/scientific-guideline/reflection-paper-use-artificial-intelligence-ai-medicinal-product-lifecycle_en.pdf
PB_H_04,CPME Deployment of artificial intelligence in healthcare,Guideline,2024,Commitee of European Doctors (CPME),Europe,https://www.cpme.eu/api/documents/adopted/2024/11/cpme_ad_09112024_073.final.policy.on.deployment.of.ai.in.healthcare.pdf
PB_H_05,CBDIO Application of AI in healthcare and its impact on the ′patient-doctor′ relationship,Guideline,2024,Steering Committee for Human Rights in the fields of Biomedicine and Health (CBDIO),Europe (CoE),https://rm.coe.int/prems-172924-gbr-2007-artificial-intelligence-16x24-web/1680b30e0b
PB_H_06,Health data governance in the age of artificial intelligence: policy imperatives for the WHO European Region,Guideline,2025,WHO Regional Office for Europe ,Europe,https://www.who.int/europe/publications/i/item/WHO-EURO-2025-11462-51234-78079
