ID,Title,Type of document,Year,Issuer,Country of issuer,Link
PB_E_01,Nordic engineers’ stand on Artificial Intelligence and Ethics,Guideline,2022,Association of Nordic Engineers,,https://nordicengineers.org/wp-content/uploads/2022/12/nordic-engineers-stand-on-ai-and-ethics.pdf
PB_E_02,AIM-NET White paper on Artificial Intelligence in Manufacturing,White paper,2023,Artificial Intelligence in Manufacturing NETwork,,https://www.ecdc.europa.eu/sites/default/files/documents/ECDC-Digital-Roadmap-2022-2027_final_with_covers.pdf
PB_E_03,EFCE White Paper on Artificial Intelligence in Chemical Engineering,White paper,2025,European Federation of Chemical Engineers,,https://efce.info/efce_media/-p-15752.pdf
PB_E_04,Formulating an Engineering Framework for Future AI Certification in Aviation,Paper,2025,German Aerospace Center ,,https://doi.org/10.3390/aerospace12060482
